  422 -> 422  PR-AUC=0.8986 ROC=0.9968 F1=0.8373
  422 -> 192  PR-AUC=0.4018 ROC=0.7857 F1=0.4264
  422 -> 443  PR-AUC=0.3344 ROC=0.8003 F1=0.3168
  192 -> 422  PR-AUC=0.0383 ROC=0.6762 F1=0.0365
  192 -> 192  PR-AUC=0.8051 ROC=0.9766 F1=0.7861
  192 -> 443  PR-AUC=0.7929 ROC=0.9656 F1=0.7285
  443 -> 422  PR-AUC=0.0226 ROC=0.4229 F1=0.0000
  443 -> 192  PR-AUC=0.8912 ROC=0.9876 F1=0.7673
  443 -> 443  PR-AUC=0.9187 ROC=0.9913 F1=0.8560
matrix saved + summary.json updated in 2859s
