model,conformer_id,rg_mass_weighted,rg_equal_weight,end_to_end,apr1_mean_rsa,apr2_mean_rsa,n_edges,mean_degree,graph_density,n_contacts
0,,21.638533020494986,21.669759990888124,48.45442962095493,0.3912385404109955,0.7813283801078796,382,5.876923076923077,0.04555754323196184,382
1,,21.712188950538735,21.670209330161104,59.814021279102036,0.4513433873653412,0.7523192167282104,367,5.6461538461538465,0.04376863446630889,367
2,,20.465481418429935,20.420264840443895,16.74165212881755,0.4535466134548187,0.50221186876297,388,5.969230769230769,0.04627310673822302,388
3,,19.722953273255488,19.687335011235948,11.824810712487949,0.2846749424934387,0.5097504258155823,408,6.276923076923077,0.04865831842576029,408
4,,36.28776179959958,36.30727306532501,54.31498004602465,0.4501776695251465,0.671382486820221,324,4.984615384615385,0.03864042933810376,324
5,,23.115960781248667,23.139833689635058,26.84847400335148,0.6193341612815857,0.5000308156013489,378,5.815384615384615,0.04508050089445438,378
6,,26.553491466626117,26.550322303991205,60.598503545734346,0.5811639428138733,0.5564759969711304,334,5.138461538461539,0.03983303518187239,334
7,,26.9739840785596,26.89760992586923,58.68095447241005,0.7220869660377502,0.5229671597480774,323,4.969230769230769,0.038521168753726895,323
8,,32.382476649594324,32.408448597204234,75.46002297257117,0.5893407464027405,0.5991441607475281,342,5.2615384615384615,0.0407871198568873,342
9,,22.847028839950124,22.81239645348958,58.38718578925912,0.42160287499427795,0.33882415294647217,402,6.184615384615385,0.047942754919499106,402
10,,33.36275908058499,33.36265662868096,74.09430958181366,0.7690078616142273,0.6896771192550659,278,4.276923076923077,0.03315444245676804,278
11,,25.770756723391266,25.76652459367876,60.12280654729074,0.3957986831665039,0.4721372127532959,358,5.507692307692308,0.04269528920691711,358
12,,21.60898274632047,21.577949318465443,43.96173308584054,0.40749573707580566,0.5989265441894531,372,5.723076923076923,0.0443649373881932,372
13,,25.943878586928825,25.87820723679302,56.1059727254548,0.5035458207130432,0.5798575282096863,358,5.507692307692308,0.04269528920691711,358
14,,28.108358823009386,28.09683596450058,28.140746339316223,0.7454548478126526,0.6435507535934448,327,5.030769230769231,0.038998211091234344,327
15,,30.14852915960769,30.15269377006472,56.946675545583425,0.6871363520622253,0.6533149480819702,335,5.153846153846154,0.03995229576624926,335
16,,24.36883686257291,24.357017077382896,54.37877470643134,0.708172619342804,0.4469035863876343,344,5.292307692307692,0.041025641025641026,344
17,,24.272394595987382,24.204591701123192,29.678479407229005,0.6314716935157776,0.5404486656188965,337,5.184615384615385,0.04019081693500298,337
18,,27.9414248385623,27.95962956822912,43.11256620662364,0.726895272731781,0.40526318550109863,344,5.292307692307692,0.041025641025641026,344
19,,20.418547173647028,20.420191853038276,8.323035556913016,0.42437902092933655,0.7128724455833435,373,5.7384615384615385,0.04448419797257006,373
20,,25.831693710152855,25.836462252029627,28.7261251828938,0.6401341557502747,0.6872724890708923,322,4.953846153846154,0.03840190816935003,322
21,,17.808274551538734,17.78865087241263,22.971483611900105,0.6512194871902466,0.5070580840110779,379,5.8307692307692305,0.045199761478831244,379
22,,25.038323907399693,25.054877681252286,27.23854533567954,0.5501188635826111,0.4928424060344696,398,6.123076923076923,0.04746571258199165,398
23,,24.45776276964802,24.381598128850168,47.185778209512605,0.41704419255256653,0.6547908186912537,347,5.338461538461538,0.04138342277877161,347
24,,21.720630451603164,21.699467882534268,33.456159774755335,0.635422945022583,0.542598307132721,378,5.815384615384615,0.04508050089445438,378
25,,20.85525115594615,20.855085820580005,27.122387357851974,0.7271811962127686,0.599936306476593,384,5.907692307692308,0.04579606440071556,384
26,,25.545530234392057,25.55745704955084,25.781147597473755,0.574756920337677,0.5765721797943115,383,5.892307692307693,0.0456768038163387,383
27,,29.285973570031196,29.308932296862803,77.68615138683818,0.6590220332145691,0.5346411466598511,348,5.3538461538461535,0.04150268336314848,348
28,,36.14482400680106,36.08139300526652,98.35298164249174,0.7216055393218994,0.6987695693969727,342,5.2615384615384615,0.0407871198568873,342
29,,26.502993081192542,26.505009100656107,32.1923621725094,0.6553744673728943,0.6208570003509521,356,5.476923076923077,0.04245676803816339,356
30,,29.211346908395257,29.213666113829657,61.402529417168914,0.6530033946037292,0.565249502658844,379,5.8307692307692305,0.045199761478831244,379
31,,18.485906599779963,18.532611490925564,42.8940802525042,0.6773715615272522,0.3675349950790405,426,6.553846153846154,0.05080500894454383,426
32,,18.736580497203477,18.72132487470494,34.078318733102336,0.7226607203483582,0.4940052926540375,399,6.138461538461539,0.04758497316636851,399
33,,23.313894658506875,23.280606247231006,25.26046147366555,0.7219882607460022,0.680199384689331,385,5.923076923076923,0.045915324985092425,385
34,,28.49815328119638,28.45245889499411,75.02506481493437,0.5970507264137268,0.6824126839637756,335,5.153846153846154,0.03995229576624926,335
35,,30.219263068861586,30.19565337804057,64.45445201740922,0.7301663160324097,0.7031316161155701,343,5.276923076923077,0.04090638044126416,343
36,,38.633628545129184,38.63597591971224,67.61379010416489,0.7034324407577515,0.6869183778762817,339,5.2153846153846155,0.04042933810375671,339
37,,28.641843447994095,28.68565096543786,53.09284212753993,0.559466540813446,0.6741778254508972,331,5.092307692307692,0.0394752534287418,331
38,,35.553805259729,35.52076461062225,98.04132189662913,0.7204598188400269,0.5133219957351685,345,5.3076923076923075,0.04114490161001789,345
39,,22.4880992837355,22.45065660377799,41.9113800558011,0.7308717370033264,0.284640371799469,382,5.876923076923077,0.04555754323196184,382
40,,29.23831162832612,29.214094832040253,58.99854607687559,0.4820127785205841,0.5441744923591614,354,5.446153846153846,0.04221824686940966,354
41,,22.648258100917566,22.706555364260588,40.23467876534342,0.6282294988632202,0.600078284740448,349,5.369230769230769,0.041621943947525344,349
42,,44.121956058173375,44.12015772854096,84.30325244525343,0.7629780769348145,0.7656924724578857,317,4.876923076923077,0.037805605247465714,317
43,,19.717663357330263,19.73360979804134,44.1596215644654,0.5191217064857483,0.7502694725990295,398,6.123076923076923,0.04746571258199165,398
44,,28.524287167030984,28.444341023244817,74.06091456384497,0.7082894444465637,0.6336114406585693,328,5.046153846153846,0.039117471675611214,328
45,,19.375297247439587,19.35511729420122,29.041324310166686,0.6555195450782776,0.41595548391342163,371,5.707692307692308,0.04424567680381634,371
46,,31.198491999696696,31.186025567738888,30.7674500647911,0.6897380948066711,0.7122957110404968,290,4.461538461538462,0.0345855694692904,290
47,,32.83224733517161,32.79604055301462,105.27665178700326,0.5755506157875061,0.7237342596054077,317,4.876923076923077,0.037805605247465714,317
48,,27.24228255882039,27.191887407874685,74.69261643368789,0.7425979375839233,0.745750904083252,321,4.938461538461539,0.03828264758497316,321
49,,22.68370099129529,22.6947044884774,31.410321206295734,0.6620920300483704,0.6292018294334412,356,5.476923076923077,0.04245676803816339,356
50,,25.747228115586452,25.710903626397084,58.911473402449204,0.5629802942276001,0.5867119431495667,343,5.276923076923077,0.04090638044126416,343
51,,23.86031270983759,23.871157696949513,65.03570445602278,0.6491580605506897,0.6626873016357422,348,5.3538461538461535,0.04150268336314848,348
52,,52.846065068341154,52.81312569708976,133.77343964487892,0.6678183674812317,0.751384973526001,307,4.723076923076923,0.036612999403697076,307
53,,45.82840138602846,45.85670740044812,81.26781208949798,0.7661577463150024,0.7718896269798279,304,4.676923076923077,0.03625521765056649,304
54,,18.994782384778464,18.989042873969805,29.25154564605063,0.5277184844017029,0.5197790861129761,395,6.076923076923077,0.04710793082886106,395
55,,23.568004386388463,23.573296578669407,62.77688704926926,0.7065390944480896,0.34107622504234314,364,5.6,0.043410852713178294,364
56,,25.44427786383301,25.4523816990945,70.13554186605582,0.6689133644104004,0.47043514251708984,368,5.661538461538462,0.04388789505068575,368
57,,34.29637539312807,34.27063435592932,99.20788026033424,0.4313783645629883,0.41573312878608704,355,5.461538461538462,0.042337507453786526,355
58,,23.381343108198088,23.3262523409429,45.289229738861316,0.6584422588348389,0.6169444918632507,337,5.184615384615385,0.04019081693500298,337
59,,24.038743628893076,24.023302149844604,39.18565050162795,0.5976336002349854,0.6323192715644836,337,5.184615384615385,0.04019081693500298,337
60,,46.76852628203822,46.7245284249767,126.42580124108196,0.6508663296699524,0.7592962384223938,314,4.8307692307692305,0.03744782349433512,314
61,,23.63939400932403,23.62960162366475,30.720844982170473,0.640862762928009,0.7116361856460571,354,5.446153846153846,0.04221824686940966,354
62,,20.00330715451698,19.96557722836361,47.47138676666794,0.6736077666282654,0.6544744372367859,386,5.938461538461539,0.04603458556946929,386
63,,26.643087457687333,26.59587451045656,68.76254996157199,0.7217869162559509,0.5631687045097351,344,5.292307692307692,0.041025641025641026,344
64,,28.11284954039583,28.097177262029895,88.17724955052181,0.6588689684867859,0.6204387545585632,349,5.369230769230769,0.041621943947525344,349
65,,33.90466839276667,33.815445732842946,86.62123507818455,0.6798327565193176,0.5443758368492126,330,5.076923076923077,0.03935599284436494,330
66,,26.289396220585573,26.303092284680805,35.44944610344449,0.6608172059059143,0.658200740814209,382,5.876923076923077,0.04555754323196184,382
67,,22.128531339162855,22.109105283312765,21.752534101990364,0.5754961967468262,0.5267982482910156,335,5.153846153846154,0.03995229576624926,335
68,,29.35806022999326,29.31990729864093,72.49954797117275,0.6957606077194214,0.6606261730194092,303,4.661538461538462,0.036135957066189626,303
69,,24.285271253836488,24.250280220475826,36.512931534464734,0.663322925567627,0.7283605933189392,344,5.292307692307692,0.041025641025641026,344
70,,31.0658738413497,31.062627419160087,62.7187210860802,0.6260107755661011,0.541796088218689,332,5.107692307692307,0.03959451401311866,332
71,,24.647594384985883,24.68790851513509,54.571180214872456,0.5734944343566895,0.5897760987281799,385,5.923076923076923,0.045915324985092425,385
72,,24.26236988757329,24.209504654993772,44.652609369848484,0.4120025038719177,0.570253849029541,386,5.938461538461539,0.04603458556946929,386
73,,27.45405728365355,27.430894101232823,77.42012892978748,0.6474770307540894,0.731357991695404,383,5.892307692307693,0.0456768038163387,383
74,,21.52659060199272,21.541525752489196,29.75961689345465,0.6514066457748413,0.4386681318283081,362,5.569230769230769,0.04317233154442457,362
75,,29.771532817887085,29.739156999702224,69.99835898623564,0.5909754633903503,0.5114821195602417,307,4.723076923076923,0.036612999403697076,307
76,,20.863794121968038,20.851922049652934,29.963927331018933,0.6363403797149658,0.36441588401794434,351,5.4,0.04186046511627907,351
77,,24.070820181785834,24.038112543480423,40.50996203425147,0.5736457109451294,0.5464425086975098,328,5.046153846153846,0.039117471675611214,328
78,,31.747131945207936,31.738431791697362,54.57983348642504,0.7689598202705383,0.5038449764251709,321,4.938461538461539,0.03828264758497316,321
79,,19.417685325898155,19.417946782067908,27.812866416063553,0.5589789748191833,0.6015486121177673,398,6.123076923076923,0.04746571258199165,398
80,,24.51300066810409,24.441549730809268,57.3925639276702,0.5826476216316223,0.584648609161377,370,5.6923076923076925,0.044126416219439475,370
81,,19.727084965068904,19.749867054808817,45.02628183913788,0.4880249500274658,0.5548352599143982,430,6.615384615384615,0.05128205128205128,430
82,,21.37575027871295,21.327842152918993,46.244090662567764,0.70366370677948,0.4876065254211426,346,5.323076923076923,0.04126416219439475,346
83,,31.175039647625308,31.13384120490929,33.50002978604352,0.7816410064697266,0.6689913272857666,318,4.892307692307693,0.037924865831842576,318
84,,19.648426057160023,19.67507441059171,32.939551246502226,0.5327709913253784,0.6899396181106567,371,5.707692307692308,0.04424567680381634,371
85,,37.25906824074578,37.2251097914288,83.76648718496531,0.7666618227958679,0.7440125942230225,285,4.384615384615385,0.03398926654740608,285
86,,25.863218411537336,25.859073028107588,40.40267569843553,0.7868586778640747,0.7042245864868164,300,4.615384615384615,0.03577817531305903,300
87,,28.550646882011222,28.542190593568893,56.12068212436296,0.5080010890960693,0.6955670714378357,351,5.4,0.04186046511627907,351
88,,22.185808498055017,22.17724552399518,25.90333281068399,0.6474971771240234,0.500903844833374,373,5.7384615384615385,0.04448419797257006,373
89,,22.55573950241168,22.5747092267838,58.30005092515781,0.37723425030708313,0.6939433813095093,406,6.246153846153846,0.04841979725700656,406
90,,18.083622185572448,18.075512064969374,37.44121003021729,0.5439018607139587,0.37210115790367126,424,6.523076923076923,0.0505664877757901,424
91,,22.27695063770572,22.279115604990206,56.95475565369255,0.6288059949874878,0.7269304394721985,364,5.6,0.043410852713178294,364
92,,30.9296865951685,30.930499506133636,18.941457336076777,0.7806403636932373,0.6702644228935242,304,4.676923076923077,0.03625521765056649,304
93,,31.813825193822662,31.829290838168713,94.03492113746805,0.6762633323669434,0.5506992340087891,317,4.876923076923077,0.037805605247465714,317
94,,25.998113811495696,26.001106931317178,60.63839643798801,0.6557267904281616,0.5128934383392334,319,4.907692307692308,0.03804412641621944,319
95,,30.343762336522683,30.259447531971777,71.47936444660199,0.7433988451957703,0.44766706228256226,335,5.153846153846154,0.03995229576624926,335
96,,23.732362982193727,23.706612353763497,49.379811299417426,0.55710768699646,0.5105558037757874,338,5.2,0.040310077519379844,338
97,,23.29068355094543,23.272002363754037,42.021304947729185,0.5294210910797119,0.47384127974510193,321,4.938461538461539,0.03828264758497316,321
98,,24.79855059265747,24.7828318867518,35.873748877954135,0.4137653112411499,0.5154858827590942,359,5.523076923076923,0.042814549791293975,359
99,,37.35914519898899,37.23734748048645,140.34575437120944,0.6544521450996399,0.5884155035018921,360,5.538461538461538,0.04293381037567084,360
100,,27.932501592336493,27.960165003199545,36.85531075813961,0.5180699229240417,0.5696900486946106,374,5.753846153846154,0.04460345855694693,374
101,,21.05107904443965,21.076111772054475,22.956808750099388,0.6300992369651794,0.6291676163673401,363,5.584615384615384,0.04329159212880143,363
102,,37.43053712092252,37.43136302365132,58.526465864157224,0.6784116625785828,0.7372276782989502,362,5.569230769230769,0.04317233154442457,362
103,,29.027564070884928,29.023364240414303,59.797338882335524,0.45315635204315186,0.7011644244194031,302,4.6461538461538465,0.036016696481812764,302
104,,30.340678146250944,30.2525166814091,63.722300388113034,0.5932940244674683,0.5667641758918762,361,5.553846153846154,0.04305307096004771,361
105,,30.52500249240142,30.48620834147014,62.92200936326508,0.7277859449386597,0.3742451071739197,356,5.476923076923077,0.04245676803816339,356
106,,16.91302309925608,16.920658522878803,37.99299378090637,0.529572606086731,0.5863426327705383,408,6.276923076923077,0.04865831842576029,408
107,,22.688805266153672,22.68893564200905,39.02578932405382,0.47704312205314636,0.5451511740684509,364,5.6,0.043410852713178294,364
108,,21.960599181913725,21.983349952684787,31.154865427178947,0.5170425176620483,0.6562855243682861,381,5.861538461538461,0.045438282647584975,381
109,,19.342202142277625,19.38965675595387,28.273979638318778,0.6296001076698303,0.6635326743125916,400,6.153846153846154,0.04770423375074538,400
110,,21.23255798338256,21.202012397055476,34.12109523915925,0.48118847608566284,0.5222748517990112,365,5.615384615384615,0.043530113297555156,365
111,,22.782870118977666,22.73461090752915,35.11982727298124,0.7066450119018555,0.36446961760520935,341,5.246153846153846,0.04066785927251044,341
112,,23.299154092710555,23.351565938265402,30.768783005764032,0.3925015926361084,0.650583028793335,389,5.984615384615385,0.04639236732259988,389
113,,31.129076837172626,31.041740639842086,104.3536612502989,0.7186699509620667,0.572733998298645,380,5.846153846153846,0.04531902206320811,380
114,,31.270200815520013,31.27677924712341,66.86416641189547,0.5786411166191101,0.6205774545669556,335,5.153846153846154,0.03995229576624926,335
115,,31.570086652364033,31.49441363471286,88.08080813284799,0.47695571184158325,0.5346210598945618,338,5.2,0.040310077519379844,338
116,,35.628179834711744,35.56727629985772,99.91198733954502,0.8120923042297363,0.6788866519927979,338,5.2,0.040310077519379844,338
117,,35.923205102796175,35.98106131507612,51.888921654087646,0.558624267578125,0.5523160099983215,340,5.230769230769231,0.04054859868813357,340
118,,29.200290369493267,29.18945464998679,50.14110054842594,0.7214151620864868,0.7358670234680176,332,5.107692307692307,0.03959451401311866,332
119,,18.01186316114286,18.005304698091297,43.934061566532385,0.533951461315155,0.21716465055942535,400,6.153846153846154,0.04770423375074538,400
120,,36.64030175641293,36.616151254461215,80.83212078282621,0.7019121646881104,0.6654961705207825,340,5.230769230769231,0.04054859868813357,340
121,,34.15511401465384,34.10444384050098,70.81365017356104,0.7727116346359253,0.6057277321815491,326,5.015384615384615,0.03887895050685748,326
122,,23.667941605576647,23.671283305694875,26.36544517051038,0.7512030005455017,0.6332881450653076,332,5.107692307692307,0.03959451401311866,332
123,,31.690822138233045,31.677643368486795,87.87171330604818,0.6582247018814087,0.5687674283981323,353,5.430769230769231,0.042098986285032794,353
124,,20.823430853524997,20.735582351520137,32.27684668962712,0.4331645667552948,0.3960331678390503,390,6.0,0.046511627906976744,390
125,,44.34930518903568,44.22233059791935,117.06639906366564,0.7892066240310669,0.6935734748840332,343,5.276923076923077,0.04090638044126416,343
126,,28.603124726915514,28.50006981663861,60.93018933712662,0.6804327964782715,0.6584102511405945,314,4.8307692307692305,0.03744782349433512,314
127,,35.982614424902025,35.883370660562335,104.21251522278318,0.6906752586364746,0.7040175199508667,328,5.046153846153846,0.039117471675611214,328
128,,23.455613833368865,23.41740300315856,35.44799709098354,0.4603569805622101,0.6737390160560608,329,5.061538461538461,0.039236732259988076,329
129,,25.069997895558657,25.08888710430956,24.971353585960067,0.5571192502975464,0.6358139514923096,340,5.230769230769231,0.04054859868813357,340
130,,37.50090392245154,37.46758102691204,126.0471274864064,0.45031866431236267,0.5465680360794067,354,5.446153846153846,0.04221824686940966,354
131,,24.09352318747047,24.07906023109006,34.70746298645725,0.6943402290344238,0.6558553576469421,356,5.476923076923077,0.04245676803816339,355
132,,19.180804441895965,19.173416395695533,18.461640895223674,0.5948095917701721,0.5562779903411865,366,5.630769230769231,0.04364937388193202,366
133,,30.870350503702568,30.88252754651528,58.02129888941891,0.6876843571662903,0.6642235517501831,293,4.507692307692308,0.03494335122242099,293
134,,21.61796207586521,21.560940346604813,71.47717108126848,0.27960094809532166,0.3837764263153076,397,6.107692307692307,0.04734645199761479,397
135,,24.607223985407547,24.61165957682939,39.07856547940554,0.6809243559837341,0.579717755317688,338,5.2,0.040310077519379844,338
136,,24.309607497488763,24.30258210479816,64.01441331815212,0.3961709439754486,0.6229647397994995,351,5.4,0.04186046511627907,351
137,,22.736310879494898,22.728776166642092,19.101460789178784,0.7469190955162048,0.489290714263916,378,5.815384615384615,0.04508050089445438,378
138,,36.92698706312172,36.9437577817342,78.88854028098004,0.4040158987045288,0.6317957639694214,337,5.184615384615385,0.04019081693500298,337
